latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,source,product,acq_datetime,event_id
51.2408,30.8437,312.7,1.0,1.0,2001-03-31,09:10,Terra,MODIS,73,6.03,292.6,11.1,D,0.0,M-C61,archive,2001-03-31 09:10:00,-1
51.3624,31.3207,308.3,1.0,1.0,2001-03-31,09:10,Terra,MODIS,67,6.03,287.1,9.2,D,0.0,M-C61,archive,2001-03-31 09:10:00,-1
51.4414,30.9375,304.8,1.0,1.0,2001-03-31,09:10,Terra,MODIS,60,6.03,285.8,6.4,D,0.0,M-C61,archive,2001-03-31 09:10:00,-1
51.6697,31.3077,303.4,1.0,1.0,2001-03-31,09:10,Terra,MODIS,56,6.03,284.8,6.3,D,0.0,M-C61,archive,2001-03-31 09:10:00,-1
51.8865,30.7796,302.6,1.8,1.3,2001-04-01,09:53,Terra,MODIS,46,6.03,285.8,13.8,D,0.0,M-C61,archive,2001-04-01 09:53:00,-1
50.4565,29.7518,303.7,1.8,1.3,2001-04-01,09:53,Terra,MODIS,57,6.03,287.5,13.6,D,0.0,M-C61,archive,2001-04-01 09:53:00,-1
50.4618,29.7284,316.6,1.7,1.3,2001-04-01,09:53,Terra,MODIS,77,6.03,287.3,35.1,D,0.0,M-C61,archive,2001-04-01 09:53:00,-1
50.5784,29.747,300.6,1.7,1.3,2001-04-01,09:53,Terra,MODIS,39,6.03,287.0,9.9,D,0.0,M-C61,archive,2001-04-01 09:53:00,-1
50.47,31.297,303.1,2.1,1.4,2001-04-01,09:53,Terra,MODIS,55,6.03,286.4,17.2,D,0.0,M-C61,archive,2001-04-01 09:53:00,-1
50.935,29.6018,307.0,1.7,1.3,2001-04-01,09:53,Terra,MODIS,65,6.03,287.8,17.6,D,0.0,M-C61,archive,2001-04-01 09:53:00,-1
50.6466,30.9437,300.5,2.0,1.4,2001-04-01,09:53,Terra,MODIS,38,6.03,286.9,12.8,D,0.0,M-C61,archive,2001-04-01 09:53:00,-1
50.649,30.9519,302.5,2.0,1.4,2001-04-01,09:53,Terra,MODIS,53,6.03,286.8,15.4,D,0.0,M-C61,archive,2001-04-01 09:53:00,-1
50.7598,30.9273,325.6,1.9,1.4,2001-04-01,09:53,Terra,MODIS,84,6.03,289.2,65.5,D,0.0,M-C61,archive,2001-04-01 09:53:00,-1
50.7513,30.9278,327.5,1.9,1.4,2001-04-01,09:53,Terra,MODIS,85,6.03,287.6,71.3,D,0.0,M-C61,archive,2001-04-01 09:53:00,-1
50.7629,30.9345,302.6,1.9,1.4,2001-04-01,09:53,Terra,MODIS,49,6.03,288.3,15.1,D,0.0,M-C61,archive,2001-04-01 09:53:00,-1
50.9023,30.3878,304.6,1.8,1.3,2001-04-01,09:53,Terra,MODIS,56,6.03,285.7,18.9,D,0.0,M-C61,archive,2001-04-01 09:53:00,-1
50.7366,31.1583,306.8,2.0,1.4,2001-04-01,09:53,Terra,MODIS,64,6.03,286.4,21.8,D,0.0,M-C61,archive,2001-04-01 09:53:00,-1
50.7429,31.1317,316.6,2.0,1.4,2001-04-01,09:53,Terra,MODIS,77,6.03,286.5,41.9,D,0.0,M-C61,archive,2001-04-01 09:53:00,-1
50.9893,30.0587,300.1,1.7,1.3,2001-04-01,09:53,Terra,MODIS,24,6.03,288.1,10.7,D,0.0,M-C61,archive,2001-04-01 09:53:00,-1
51.0439,30.0363,302.6,1.7,1.3,2001-04-01,09:53,Terra,MODIS,53,6.03,286.9,13.1,D,0.0,M-C61,archive,2001-04-01 09:53:00,-1
51.1535,29.534,301.6,1.6,1.3,2001-04-01,09:53,Terra,MODIS,39,6.03,287.7,8.7,D,0.0,M-C61,archive,2001-04-01 09:53:00,-1
51.1583,29.5118,321.4,1.6,1.3,2001-04-01,09:53,Terra,MODIS,81,6.03,288.5,39.6,D,0.0,M-C61,archive,2001-04-01 09:53:00,-1
51.0398,30.0408,300.4,1.7,1.3,2001-04-01,09:53,Terra,MODIS,33,6.03,286.5,9.6,D,0.0,M-C61,archive,2001-04-01 09:53:00,-1
51.1566,29.5177,324.2,1.6,1.3,2001-04-01,09:53,Terra,MODIS,83,6.03,288.3,44.0,D,0.0,M-C61,archive,2001-04-01 09:53:00,-1
51.0807,30.3592,302.2,1.8,1.3,2001-04-01,09:53,Terra,MODIS,0,6.03,289.0,12.0,D,0.0,M-C61,archive,2001-04-01 09:53:00,-1
51.1997,29.8187,300.4,1.7,1.3,2001-04-01,09:53,Terra,MODIS,36,6.03,285.1,11.6,D,0.0,M-C61,archive,2001-04-01 09:53:00,-1
51.2082,29.8291,301.4,1.7,1.3,2001-04-01,09:53,Terra,MODIS,47,6.03,285.4,12.5,D,0.0,M-C61,archive,2001-04-01 09:53:00,-1
51.1022,30.889,304.9,1.9,1.3,2001-04-01,09:53,Terra,MODIS,52,6.03,286.2,18.4,D,0.0,M-C61,archive,2001-04-01 09:53:00,-1
51.2176,31.0563,300.2,1.9,1.3,2001-04-01,09:53,Terra,MODIS,0,6.03,285.3,13.9,D,0.0,M-C61,archive,2001-04-01 09:53:00,-1
51.3214,30.9431,302.8,1.9,1.3,2001-04-01,09:53,Terra,MODIS,51,6.03,285.9,15.4,D,0.0,M-C61,archive,2001-04-01 09:53:00,-1
51.4508,30.6302,318.6,1.8,1.3,2001-04-01,09:53,Terra,MODIS,74,6.03,287.0,39.9,D,0.0,M-C61,archive,2001-04-01 09:53:00,-1
50.6738,31.3456,313.3,1.2,1.1,2001-04-02,08:58,Terra,MODIS,73,6.03,289.9,14.4,D,0.0,M-C61,archive,2001-04-02 08:58:00,-1
52.037,30.9494,305.9,1.3,1.1,2001-04-02,08:58,Terra,MODIS,62,6.03,284.9,11.5,D,0.0,M-C61,archive,2001-04-02 08:58:00,-1
51.2339,31.3408,301.1,1.2,1.1,2001-04-02,08:58,Terra,MODIS,44,6.03,285.6,6.5,D,0.0,M-C61,archive,2001-04-02 08:58:00,-1
51.253,30.8768,301.5,1.3,1.1,2001-04-02,08:58,Terra,MODIS,47,6.03,282.1,7.7,D,0.0,M-C61,archive,2001-04-02 08:58:00,-1
51.2511,30.8947,306.1,1.3,1.1,2001-04-02,08:58,Terra,MODIS,63,6.03,280.4,11.9,D,0.0,M-C61,archive,2001-04-02 08:58:00,-1
51.0951,31.3148,303.6,1.2,1.1,2001-04-02,08:58,Terra,MODIS,57,6.03,286.0,7.7,D,0.0,M-C61,archive,2001-04-02 08:58:00,-1
51.0933,31.3319,300.2,1.2,1.1,2001-04-02,08:58,Terra,MODIS,31,6.03,286.8,5.2,D,0.0,M-C61,archive,2001-04-02 08:58:00,-1
51.1,31.1743,306.8,1.2,1.1,2001-04-02,08:58,Terra,MODIS,64,6.03,286.4,9.9,D,0.0,M-C61,archive,2001-04-02 08:58:00,-1
51.0982,31.1917,304.0,1.2,1.1,2001-04-02,08:58,Terra,MODIS,58,6.03,286.8,7.6,D,0.0,M-C61,archive,2001-04-02 08:58:00,-1
51.159,29.4883,300.6,1.4,1.2,2001-04-02,08:58,Terra,MODIS,29,6.03,287.6,6.8,D,0.0,M-C61,archive,2001-04-02 08:58:00,-1
51.0971,29.8011,322.6,1.4,1.2,2001-04-02,08:58,Terra,MODIS,82,6.03,288.5,33.8,D,0.0,M-C61,archive,2001-04-02 08:58:00,-1
51.0267,29.3487,302.0,1.4,1.2,2001-04-02,08:58,Terra,MODIS,50,6.03,285.9,8.6,D,0.0,M-C61,archive,2001-04-02 08:58:00,-1
50.9427,29.0264,301.4,1.5,1.2,2001-04-02,08:58,Terra,MODIS,47,6.03,286.1,8.2,D,0.0,M-C61,archive,2001-04-02 08:58:00,-1
50.7231,31.0797,302.0,1.2,1.1,2001-04-02,08:58,Terra,MODIS,50,6.03,287.3,5.8,D,0.0,M-C61,archive,2001-04-02 08:58:00,-1
50.5914,30.986,301.0,1.2,1.1,2001-04-02,08:58,Terra,MODIS,44,6.03,287.8,5.4,D,0.0,M-C61,archive,2001-04-02 08:58:00,-1
50.5311,31.2665,316.9,1.2,1.1,2001-04-02,08:58,Terra,MODIS,75,6.03,288.1,18.3,D,0.0,M-C61,archive,2001-04-02 08:58:00,-1
50.5293,31.2832,317.3,1.2,1.1,2001-04-02,08:58,Terra,MODIS,77,6.03,287.7,18.7,D,0.0,M-C61,archive,2001-04-02 08:58:00,-1
50.545,31.1257,300.1,1.2,1.1,2001-04-02,08:58,Terra,MODIS,22,6.03,287.7,4.6,D,0.0,M-C61,archive,2001-04-02 08:58:00,-1
50.5281,31.2769,322.8,1.2,1.1,2001-04-02,08:58,Terra,MODIS,82,6.03,288.2,27.3,D,0.0,M-C61,archive,2001-04-02 08:58:00,-1
50.5102,31.1687,301.4,1.2,1.1,2001-04-02,08:58,Terra,MODIS,46,6.03,288.4,5.5,D,0.0,M-C61,archive,2001-04-02 08:58:00,-1
50.4857,31.3001,310.1,1.2,1.1,2001-04-02,08:58,Terra,MODIS,70,6.03,287.8,11.9,D,0.0,M-C61,archive,2001-04-02 08:58:00,-1
50.3057,30.8063,304.6,1.2,1.1,2001-04-02,08:58,Terra,MODIS,59,6.03,288.8,7.8,D,0.0,M-C61,archive,2001-04-02 08:58:00,-1
50.3062,30.7996,302.9,1.2,1.1,2001-04-02,08:58,Terra,MODIS,49,6.03,288.6,6.8,D,0.0,M-C61,archive,2001-04-02 08:58:00,-1
50.9162,28.721,301.1,4.7,2.0,2001-04-02,10:36,Terra,MODIS,44,6.03,283.9,48.8,D,0.0,M-C61,archive,2001-04-02 10:36:00,-1
50.9173,28.7177,301.8,4.7,2.0,2001-04-02,10:36,Terra,MODIS,49,6.03,283.9,52.3,D,0.0,M-C61,archive,2001-04-02 10:36:00,-1
50.8864,29.0466,302.6,1.2,1.1,2001-04-03,09:41,Terra,MODIS,53,6.03,291.7,4.3,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
50.9688,28.5221,309.3,1.1,1.1,2001-04-03,09:41,Terra,MODIS,68,6.03,292.3,9.1,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
50.8192,29.01,316.0,1.2,1.1,2001-04-03,09:41,Terra,MODIS,76,6.03,292.5,16.6,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
50.8161,29.0264,311.9,1.2,1.1,2001-04-03,09:41,Terra,MODIS,72,6.03,291.7,12.4,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
50.4211,30.929,301.9,1.4,1.2,2001-04-03,09:41,Terra,MODIS,42,6.03,287.0,4.7,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
50.3695,31.047,305.6,1.5,1.2,2001-04-03,09:41,Terra,MODIS,37,6.03,291.7,7.3,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
50.6532,28.7048,304.3,1.2,1.1,2001-04-03,09:41,Terra,MODIS,58,6.03,292.4,5.9,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
50.3287,30.085,319.9,1.3,1.1,2001-04-03,09:41,Terra,MODIS,79,6.03,290.5,24.5,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
51.4263,31.3604,303.1,1.4,1.2,2001-04-03,09:41,Terra,MODIS,51,6.03,290.2,6.3,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
51.4701,30.9809,309.3,1.4,1.2,2001-04-03,09:41,Terra,MODIS,61,6.03,292.0,11.9,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
51.3614,31.3208,317.1,1.4,1.2,2001-04-03,09:41,Terra,MODIS,77,6.03,291.6,22.8,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
51.1409,31.3018,305.0,1.4,1.2,2001-04-03,09:41,Terra,MODIS,60,6.03,290.0,8.7,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
51.046,31.3546,306.1,1.4,1.2,2001-04-03,09:41,Terra,MODIS,63,6.03,291.2,9.5,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
51.3739,29.0214,306.6,1.2,1.1,2001-04-03,09:41,Terra,MODIS,64,6.03,291.6,8.0,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
50.9089,30.9295,313.6,1.4,1.2,2001-04-03,09:41,Terra,MODIS,74,6.03,292.1,15.8,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
50.8988,30.9244,314.6,1.4,1.2,2001-04-03,09:41,Terra,MODIS,75,6.03,291.4,17.3,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
50.8949,30.9434,306.6,1.4,1.2,2001-04-03,09:41,Terra,MODIS,47,6.03,291.0,7.7,D,0.0,M-C61,archive,2001-04-03 09:41:00,-1
