latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,source,product,acq_datetime
55.3083,60.697,309.4,3.4,1.7,2001-04-19,06:22,Terra,MODIS,69,6.03,289.9,51.6,D,0,M-C61,archive,2001-04-19 06:22:00
55.2583,61.4848,312.2,3.2,1.7,2001-04-19,06:22,Terra,MODIS,63,6.03,292.8,44.3,D,0,M-C61,archive,2001-04-19 06:22:00
55.0921,60.7351,302.5,3.4,1.7,2001-04-19,06:22,Terra,MODIS,52,6.03,291.6,18.1,D,0,M-C61,archive,2001-04-19 06:22:00
55.0984,60.7293,302.9,3.4,1.7,2001-04-19,06:22,Terra,MODIS,54,6.03,292.1,20.9,D,0,M-C61,archive,2001-04-19 06:22:00
54.8362,60.5333,305.9,3.5,1.8,2001-04-19,06:22,Terra,MODIS,54,6.03,291.1,36.1,D,0,M-C61,archive,2001-04-19 06:22:00
55.3111,61.4809,316.8,1.9,1.3,2001-04-19,08:00,Terra,MODIS,77,6.03,297.1,28.2,D,0,M-C61,archive,2001-04-19 08:00:00
55.2851,61.5903,311.9,1.9,1.3,2001-04-19,08:00,Terra,MODIS,72,6.03,295.2,19.9,D,0,M-C61,archive,2001-04-19 08:00:00
55.3065,60.9749,319.5,1.8,1.3,2001-04-19,08:00,Terra,MODIS,79,6.03,294.7,35.3,D,0,M-C61,archive,2001-04-19 08:00:00
55.3004,61.001,317.4,1.8,1.3,2001-04-19,08:00,Terra,MODIS,78,6.03,294.9,30.9,D,0,M-C61,archive,2001-04-19 08:00:00
55.3443,60.7039,315.0,1.7,1.3,2001-04-19,08:00,Terra,MODIS,75,6.03,290.7,27.6,D,0,M-C61,archive,2001-04-19 08:00:00
55.3476,60.7008,312.3,1.7,1.3,2001-04-19,08:00,Terra,MODIS,72,6.03,291.4,21.4,D,0,M-C61,archive,2001-04-19 08:00:00
55.3419,60.7262,304.2,1.7,1.3,2001-04-19,08:00,Terra,MODIS,25,6.03,291.3,10.1,D,0,M-C61,archive,2001-04-19 08:00:00
55.3095,60.7029,310.3,1.7,1.3,2001-04-19,08:00,Terra,MODIS,70,6.03,292.2,19.7,D,0,M-C61,archive,2001-04-19 08:00:00
